titulo,autor_principal,rating,ratings_count,book_url,isbn10,isbn13,asin,source_name,source_file,row_number,autores,editorial,fecha_publicacion_raw,idioma_raw,categorias,precio,moneda,titulo_normalizado,idioma,fecha_publicacion,autores_list,categorias_list,anio_publicacion,longitud_titulo,autor_normalizado,editorial_normalizada,book_id,has_isbn13,has_precio,prioridad_fuente,error_codes,has_error,source_id,book_id_candidato,ts_ingesta
Big Data in Practice: How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results,Bernard Marr,3.41,295.0,https://www.goodreads.com/book/show/29909820-big-data-in-practice?from_search=true&from_srp=true&qid=rHTJU0eEwR&rank=22,,,B01DCOYDUS,goodreads,goodreads_books.json,1,,,,,,,,big data in practice: how 45 successful companies used big data analytics to deliver extraordinary results,,,[],[],,106,bernard marr,,037424ccc6228d8d2d682491a4f1d39eaec6605b,False,False,2,[],False,1,037424ccc6228d8d2d682491a4f1d39eaec6605b,2025-11-24T15:01:03.102473+00:00
"What To Do When Machines Do Everything: How to Get Ahead in a World of AI, Algorithms, Bots, and Big Data",Malcolm Frank,3.5700000000000003,495.0,https://www.goodreads.com/book/show/34026641-what-to-do-when-machines-do-everything?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=14,,,B01N7UAGFJ,goodreads,goodreads_books.json,2,,,,,,,,"what to do when machines do everything: how to get ahead in a world of ai, algorithms, bots, and big data",,,[],[],,105,malcolm frank,,2a9ab6082e1d9cb1ec13b77a0f2912252e034871,False,False,2,[],False,2,2a9ab6082e1d9cb1ec13b77a0f2912252e034871,2025-11-24T15:01:03.102473+00:00
"Big Data: Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance",Bernard Marr,3.59,411.0,https://www.goodreads.com/book/show/24520575-big-data?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=19,,,B00S4TBEJK,goodreads,goodreads_books.json,3,,,,,,,,"big data: using smart big data, analytics and metrics to make better decisions and improve performance",,,[],[],,102,bernard marr,,6f8720e88863d172667a6b0588f84667fc0e94ca,False,False,2,[],False,3,6f8720e88863d172667a6b0588f84667fc0e94ca,2025-11-24T15:01:03.102473+00:00
Everybody Lies,Seth Stephens-Davidowitz,,,,0062390856,9780062390851,,googlebooks,googlebooks_books.csv,1,Seth Stephens-Davidowitz,Dey Street Books,2017-05-09,en,Social Science,,,everybody lies,en,2017-05-09,['Seth Stephens-Davidowitz'],['Social Science'],2017.0,14,seth stephens-davidowitz,dey street books,9780062390851,True,False,3,[],False,4,9780062390851,2025-11-24T15:01:03.102473+00:00
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,3.91,42385.0,https://www.goodreads.com/book/show/28512671-everybody-lies?from_search=true&from_srp=true&qid=3odD26wfvY&rank=1,0062390856,9780062390851,0062390856,goodreads,goodreads_books.json,4,,,,,,,,"everybody lies: big data, new data, and what the internet can tell us about who we really are",,,[],[],,93,seth stephens-davidowitz,,9780062390851,True,False,2,[],False,5,9780062390851,2025-11-24T15:01:03.102473+00:00
Big Data,Dawn E. Holmes,,,,0198779577,9780198779575,,googlebooks,googlebooks_books.csv,2,Dawn E. Holmes,Oxford University Press,2017,en,Computers,,,big data,en,2017-01-01,['Dawn E. Holmes'],['Computers'],2017.0,8,dawn e. holmes,oxford university press,9780198779575,True,False,3,[],False,6,9780198779575,2025-11-24T15:01:03.102473+00:00
Big Data: A Very Short Introduction,Dawn E. Holmes,3.66,248.0,https://www.goodreads.com/book/show/34927488-big-data?from_search=true&from_srp=true&qid=rHTJU0eEwR&rank=23,0198779577,9780198779575,0198779577,goodreads,goodreads_books.json,5,,,,,,,,big data: a very short introduction,,,[],[],,35,dawn e. holmes,,9780198779575,True,False,2,[],False,7,9780198779575,2025-11-24T15:01:03.102473+00:00
"Streaming, Sharing, Stealing",Michael D. Smith,,,,0262034794,9780262034791,,googlebooks,googlebooks_books.csv,3,Michael D. Smith|Rahul Telang,MIT Press,2016-08-05,en,Business & Economics,,,"streaming, sharing, stealing",en,2016-08-05,['Michael D. Smith' 'Rahul Telang'],['Business & Economics'],2016.0,28,michael d. smith,mit press,9780262034791,True,False,3,[],False,8,9780262034791,2025-11-24T15:01:03.102473+00:00
"Streaming, Sharing, Stealing: Big Data and the Future of Entertainment",Michael D.       Smith,3.95,625.0,https://www.goodreads.com/book/show/29889439-streaming-sharing-stealing?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=13,0262034794,9780262034791,0262034794,goodreads,goodreads_books.json,6,,,,,,,,"streaming, sharing, stealing: big data and the future of entertainment",,,[],[],,70,michael d.       smith,,9780262034791,True,False,2,[],False,9,9780262034791,2025-11-24T15:01:03.102473+00:00
The Art of Invisibility,Kevin Mitnick,,,,0316380504,9780316380508,,googlebooks,googlebooks_books.csv,4,Kevin Mitnick,"Little, Brown",2017-02-14,en,Computers,,,the art of invisibility,en,2017-02-14,['Kevin Mitnick'],['Computers'],2017.0,23,kevin mitnick,"little, brown",9780316380508,True,False,3,[],False,10,9780316380508,2025-11-24T15:01:03.102473+00:00
The Art of Invisibility: The World's Most Famous Hacker Teaches You How to Be Safe in the Age of Big Brother and Big Data,Kevin D. Mitnick,3.98,5409.0,https://www.goodreads.com/book/show/30363785-the-art-of-invisibility?from_search=true&from_srp=true&qid=3odD26wfvY&rank=4,0316380504,9780316380508,0316380504,goodreads,goodreads_books.json,7,,,,,,,,the art of invisibility: the world's most famous hacker teaches you how to be safe in the age of big brother and big data,,,[],[],,121,kevin d. mitnick,,9780316380508,True,False,2,[],False,11,9780316380508,2025-11-24T15:01:03.102473+00:00
Smart Cities,Anthony M Townsend,,,,0393349780,9780393349788,,googlebooks,googlebooks_books.csv,5,Anthony M Townsend,National Geographic Books,2014-10-07,en,Social Science,,,smart cities,en,2014-10-07,['Anthony M Townsend'],['Social Science'],2014.0,12,anthony m townsend,national geographic books,9780393349788,True,False,3,[],False,12,9780393349788,2025-11-24T15:01:03.102473+00:00
"Smart Cities: Big Data, Civic Hackers, and the Quest for a New Utopia",Anthony M. Townsend,3.6,810.0,https://www.goodreads.com/book/show/20663743-smart-cities?from_search=true&from_srp=true&qid=3odD26wfvY&rank=7,0393349780,9780393349788,0393349780,goodreads,goodreads_books.json,8,,,,,,,,"smart cities: big data, civic hackers, and the quest for a new utopia",,,[],[],,69,anthony m. townsend,,9780393349788,True,False,2,[],False,13,9780393349788,2025-11-24T15:01:03.102473+00:00
Big Data,Viktor Mayer-Schönberger,,,,0544002695,9780544002692,,googlebooks,googlebooks_books.csv,6,Viktor Mayer-Schönberger|Kenneth Cukier,Houghton Mifflin Harcourt,2013,en,Business & Economics,,,big data,en,2013-01-01,['Viktor Mayer-Schönberger' 'Kenneth Cukier'],['Business & Economics'],2013.0,8,viktor mayer-schönberger,houghton mifflin harcourt,9780544002692,True,False,3,[],False,14,9780544002692,2025-11-24T15:01:03.102473+00:00
"Big Data: A Revolution That Will Transform How We Live, Work, and Think",Viktor Mayer-Schönberger,3.69,8669.0,https://www.goodreads.com/book/show/15815598-big-data?from_search=true&from_srp=true&qid=3odD26wfvY&rank=3,0544002695,9780544002692,0544002695,goodreads,goodreads_books.json,9,,,,,,,,"big data: a revolution that will transform how we live, work, and think",,,[],[],,71,viktor mayer-schönberger,,9780544002692,True,False,2,[],False,15,9780544002692,2025-11-24T15:01:03.102473+00:00
Weapons of Math Destruction,Cathy O'Neil,,,,0553418815,9780553418811,,googlebooks,googlebooks_books.csv,7,Cathy O'Neil,Crown Publishing Group (NY),2016,en,Business & Economics,,,weapons of math destruction,en,2016-01-01,"[""Cathy O'Neil""]",['Business & Economics'],2016.0,27,cathy o'neil,crown publishing group (ny),9780553418811,True,False,3,[],False,16,9780553418811,2025-11-24T15:01:03.102473+00:00
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,3.87,29773.0,https://www.goodreads.com/book/show/28186015-weapons-of-math-destruction?from_search=true&from_srp=true&qid=3odD26wfvY&rank=2,0553418815,9780553418811,0553418815,goodreads,goodreads_books.json,10,,,,,,,,weapons of math destruction: how big data increases inequality and threatens democracy,,,[],[],,86,cathy o'neil,,9780553418811,True,False,2,[],False,17,9780553418811,2025-11-24T15:01:03.102473+00:00
Data Strategy,Bernard Marr,,,,074947985X,9780749479855,,googlebooks,googlebooks_books.csv,8,Bernard Marr,,2017,en,Business & Economics,,,data strategy,en,2017-01-01,['Bernard Marr'],['Business & Economics'],2017.0,13,bernard marr,,9780749479855,True,False,3,[],False,18,9780749479855,2025-11-24T15:01:03.102473+00:00
"Data Strategy: How to Profit from a World of Big Data, Analytics and the Internet of Things",Bernard Marr,3.77,412.0,https://www.goodreads.com/book/show/31851326-data-strategy?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=16,074947985X,9780749479855,074947985X,goodreads,goodreads_books.json,11,,,,,,,,"data strategy: how to profit from a world of big data, analytics and the internet of things",,,[],[],,91,bernard marr,,9780749479855,True,False,2,[],False,19,9780749479855,2025-11-24T15:01:03.102473+00:00
The Internet of Us,Michael P. Lynch,,,,0871406616,9780871406613,,googlebooks,googlebooks_books.csv,9,Michael P. Lynch,National Geographic Books,2016-04-05,en,Philosophy,,,the internet of us,en,2016-04-05,['Michael P. Lynch'],['Philosophy'],2016.0,18,michael p. lynch,national geographic books,9780871406613,True,False,3,[],False,20,9780871406613,2025-11-24T15:01:03.102473+00:00
The Internet of Us: Knowing More and Understanding Less in the Age of Big Data,Michael Patrick Lynch,3.51,540.0,https://www.goodreads.com/book/show/25622834-the-internet-of-us?from_search=true&from_srp=true&qid=3odD26wfvY&rank=9,0871406616,9780871406613,0871406616,goodreads,goodreads_books.json,12,,,,,,,,the internet of us: knowing more and understanding less in the age of big data,,,[],[],,78,michael patrick lynch,,9780871406613,True,False,2,[],False,21,9780871406613,2025-11-24T15:01:03.102473+00:00
"Targeted: The Cambridge Analytica Whistleblower s Inside Story of How Big Data, Trump, and Facebook Broke Democracy and How It Can Happen Again",Brittany Kaiser,3.5700000000000003,1179.0,https://www.goodreads.com/book/show/45943454-targeted?from_search=true&from_srp=true&qid=3odD26wfvY&rank=10,1094028193,9781094028194,1094028193,goodreads,goodreads_books.json,13,,,,,,,,"targeted: the cambridge analytica whistleblower s inside story of how big data, trump, and facebook broke democracy and how it can happen again",,,[],[],,143,brittany kaiser,,9781094028194,True,False,2,[],False,22,9781094028194,2025-11-24T15:01:03.102473+00:00
Big Data Baseball,Travis Sawchik,,,,1250063507,9781250063502,,googlebooks,googlebooks_books.csv,10,Travis Sawchik,Macmillan,2015-05-19,en,Sports & Recreation,,,big data baseball,en,2015-05-19,['Travis Sawchik'],['Sports & Recreation'],2015.0,17,travis sawchik,macmillan,9781250063502,True,False,3,[],False,23,9781250063502,2025-11-24T15:01:03.102473+00:00
"Big Data Baseball: Math, Miracles, and the End of a 20-Year Losing Streak",Travis Sawchik,4.05,2445.0,https://www.goodreads.com/book/show/22895690-big-data-baseball?from_search=true&from_srp=true&qid=3odD26wfvY&rank=6,1250063507,9781250063502,1250063507,goodreads,goodreads_books.json,14,,,,,,,,"big data baseball: math, miracles, and the end of a 20-year losing streak",,,[],[],,73,travis sawchik,,9781250063502,True,False,2,[],False,24,9781250063502,2025-11-24T15:01:03.102473+00:00
The Efficiency Paradox: What Big Data Can't Do,Edward Tenner,3.29,304.0,https://www.goodreads.com/book/show/35881008-the-efficiency-paradox?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=12,1400041392,9781400041398,1400041392,goodreads,goodreads_books.json,15,,,,,,,,the efficiency paradox: what big data can't do,,,[],[],,46,edward tenner,,9781400041398,True,False,2,[],False,25,9781400041398,2025-11-24T15:01:03.102473+00:00
Big Data at Work,Thomas Davenport,,,,1422168166,9781422168165,,googlebooks,googlebooks_books.csv,11,Thomas Davenport,Harvard Business Review Press,2014-02-25,en,Business & Economics,,,big data at work,en,2014-02-25,['Thomas Davenport'],['Business & Economics'],2014.0,16,thomas davenport,harvard business review press,9781422168165,True,False,3,[],False,26,9781422168165,2025-11-24T15:01:03.102473+00:00
"Big data @ work : dispelling the myths, uncovering the opportunities",Thomas H. Davenport,3.58,437.0,https://www.goodreads.com/book/show/18211094-big-data-work?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=18,1422168166,9781422168165,1422168166,goodreads,goodreads_books.json,16,,,,,,,,"big data @ work : dispelling the myths, uncovering the opportunities",,,[],[],,68,thomas h. davenport,,9781422168165,True,False,2,[],False,27,9781422168165,2025-11-24T15:01:03.102473+00:00
Learning Spark: Lightning-Fast Big Data Analysis,Holden Karau,3.91,567.0,https://www.goodreads.com/book/show/24808098-learning-spark?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=20,1449359027,9781449359027,B00SW0TY8O,goodreads,goodreads_books.json,17,,,,,,,,learning spark: lightning-fast big data analysis,,,[],[],,48,holden karau,,9781449359027,True,False,2,[],False,28,9781449359027,2025-11-24T15:01:03.102473+00:00
The Human Face of Big Data,Rick Smolan,,,,1454908270,9781454908272,,googlebooks,googlebooks_books.csv,12,Rick Smolan|Jennifer Erwitt,,2012,en,Big data,,,the human face of big data,en,2012-01-01,['Rick Smolan' 'Jennifer Erwitt'],['Big data'],2012.0,26,rick smolan,,9781454908272,True,False,3,[],False,29,9781454908272,2025-11-24T15:01:03.102473+00:00
The Human Face of Big Data,Rick  Smolan,4.03,214.0,https://www.goodreads.com/book/show/15984950-the-human-face-of-big-data?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=17,1454908270,9781454908272,1454908270,goodreads,goodreads_books.json,18,,,,,,,,the human face of big data,,,[],[],,26,rick  smolan,,9781454908272,True,False,2,[],False,30,9781454908272,2025-11-24T15:01:03.102473+00:00
Big Data,Timandra Harkness,,,,1472920058,9781472920058,,googlebooks,googlebooks_books.csv,13,Timandra Harkness,Bloomsbury Publishing,2016-07-12,en,Computers,,,big data,en,2016-07-12,['Timandra Harkness'],['Computers'],2016.0,8,timandra harkness,bloomsbury publishing,9781472920058,True,False,3,[],False,31,9781472920058,2025-11-24T15:01:03.102473+00:00
Big Data: Does Size Matter?,Timandra Harkness,3.58,222.0,https://www.goodreads.com/book/show/26072972-big-data?from_search=true&from_srp=true&qid=rHTJU0eEwR&rank=24,1472920058,9781472920058,1472920058,goodreads,goodreads_books.json,19,,,,,,,,big data: does size matter?,,,[],[],,27,timandra harkness,,9781472920058,True,False,2,[],False,32,9781472920058,2025-11-24T15:01:03.102473+00:00
Spark: The Definitive Guide: Big Data Processing Made Simple,Bill Chambers,4.14,282.0,https://www.goodreads.com/book/show/38467996-spark?from_search=true&from_srp=true&qid=rHTJU0eEwR&rank=25,1491912170,9781491912171,B079P71JHY,goodreads,goodreads_books.json,20,,,,,,,,spark: the definitive guide: big data processing made simple,,,[],[],,60,bill chambers,,9781491912171,True,False,2,[],False,33,9781491912171,2025-11-24T15:01:03.102473+00:00
Python for Finance,Yves Hilpisch,,,,1491945281,9781491945285,,googlebooks,googlebooks_books.csv,14,Yves Hilpisch,Oreilly & Associates Incorporated,2014-12-27,en,Business & Economics,,,python for finance,en,2014-12-27,['Yves Hilpisch'],['Business & Economics'],2014.0,18,yves hilpisch,oreilly & associates incorporated,9781491945285,True,False,3,[],False,34,9781491945285,2025-11-24T15:01:03.102473+00:00
Python for Finance: Analyze Big Financial Data,Yves Hilpisch,3.7800000000000002,245.0,https://www.goodreads.com/book/show/22221113-python-for-finance?from_search=true&from_srp=true&qid=rHTJU0eEwR&rank=21,1491945281,9781491945285,1491945281,goodreads,goodreads_books.json,21,,,,,,,,python for finance: analyze big financial data,,,[],[],,46,yves hilpisch,,9781491945285,True,False,2,[],False,35,9781491945285,2025-11-24T15:01:03.102473+00:00
Uncharted,Erez Aiden,,,,1594487456,9781594487453,,googlebooks,googlebooks_books.csv,15,Erez Aiden|Jean-Baptiste Michel,Riverhead Books (Hardcover),2013,en,Computers,,,uncharted,en,2013-01-01,['Erez Aiden' 'Jean-Baptiste Michel'],['Computers'],2013.0,9,erez aiden,riverhead books (hardcover),9781594487453,True,False,3,[],False,36,9781594487453,2025-11-24T15:01:03.102473+00:00
Uncharted: Big Data as a Lens on Human Culture,Erez Aiden,3.7199999999999998,671.0,https://www.goodreads.com/book/show/17707749-uncharted?from_search=true&from_srp=true&qid=3odD26wfvY&rank=8,1594487456,9781594487453,1594487456,goodreads,goodreads_books.json,22,,,,,,,,uncharted: big data as a lens on human culture,,,[],[],,46,erez aiden,,9781594487453,True,False,2,[],False,37,9781594487453,2025-11-24T15:01:03.102473+00:00
Big Data,Nathan Marz,,,,1617290343,9781617290343,,googlebooks,googlebooks_books.csv,16,Nathan Marz|James Warren,Manning Publications Company,2015,en,Computers,,,big data,en,2015-01-01,['Nathan Marz' 'James Warren'],['Computers'],2015.0,8,nathan marz,manning publications company,9781617290343,True,False,3,[],False,38,9781617290343,2025-11-24T15:01:03.102473+00:00
Big Data: Principles and best practices of scalable realtime data systems,Nathan Marz,3.8200000000000003,490.0,https://www.goodreads.com/book/show/13421400-big-data?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=11,1617290343,9781617290343,1617290343,goodreads,goodreads_books.json,23,,,,,,,,big data: principles and best practices of scalable realtime data systems,,,[],[],,73,nathan marz,,9781617290343,True,False,2,[],False,39,9781617290343,2025-11-24T15:01:03.102473+00:00
Life After Google,George Gilder,,,,1621575764,9781621575764,,googlebooks,googlebooks_books.csv,17,George Gilder,Regnery Gateway,2018-07-17,en,Business & Economics,,,life after google,en,2018-07-17,['George Gilder'],['Business & Economics'],2018.0,17,george gilder,regnery gateway,9781621575764,True,False,3,[],False,40,9781621575764,2025-11-24T15:01:03.102473+00:00
Life After Google: The Fall of Big Data and the Rise of the Blockchain Economy,George Gilder,3.55,2373.0,https://www.goodreads.com/book/show/32073021-life-after-google?from_search=true&from_srp=true&qid=3odD26wfvY&rank=5,1621575764,9781621575764,1621575764,goodreads,goodreads_books.json,24,,,,,,,,life after google: the fall of big data and the rise of the blockchain economy,,,[],[],,78,george gilder,,9781621575764,True,False,2,[],False,41,9781621575764,2025-11-24T15:01:03.102473+00:00
Big Data and Analytics,Subhashini Seema Acharya,4.1,129.0,https://www.goodreads.com/book/show/30133936-big-data-and-analytics?from_search=true&from_srp=true&qid=ZTBf6dR8o1&rank=15,8126554789,9788126554782,8126554789,goodreads,goodreads_books.json,25,,,,,,,,big data and analytics,,,[],[],,22,subhashini seema acharya,,9788126554782,True,False,2,[],False,42,9788126554782,2025-11-24T15:01:03.102473+00:00
